course_id,prof_id,semester,avg_assignment_usefulness,avg_teaching_clarity,avg_course_organization,avg_interaction,avg_overall_rating,num_responses
CSE101,PROF026,1,4.12,5.0,2.27,3.82,4.36,74
CSE101,PROF002,2,3.09,3.0,1.85,3.18,2.39,38
CSE101,PROF001,3,1.55,4.35,3.96,3.34,3.48,40
CSE101,PROF009,4,4.63,4.05,4.4,3.54,4.82,80
CSE101,PROF004,5,3.54,3.54,2.17,3.51,2.62,24
CSE101,PROF011,6,2.4,2.36,1.96,4.61,3.98,30
CSE102,PROF029,1,4.71,2.29,3.13,2.14,2.61,44
CSE102,PROF006,2,3.32,5.0,3.64,4.91,4.54,66
CSE102,PROF003,3,5.0,2.23,4.22,4.23,2.54,55
CSE102,PROF029,4,3.98,3.54,2.89,2.51,2.6,25
CSE102,PROF011,5,4.55,3.01,3.44,2.28,2.29,58
CSE102,PROF020,6,3.97,2.12,2.67,3.13,3.19,77
CSE201,PROF016,1,3.62,4.18,4.22,4.35,2.98,65
CSE201,PROF001,2,3.07,4.35,3.91,2.2,3.58,47
CSE201,PROF021,3,1.81,3.53,4.82,2.64,2.73,30
CSE201,PROF020,4,3.71,1.97,2.49,3.58,2.59,76
CSE201,PROF014,5,3.13,4.02,3.56,3.53,3.05,30
CSE201,PROF002,6,3.29,2.99,3.26,2.6,2.85,26
CSE202,PROF011,1,2.12,2.99,2.16,2.02,3.12,33
CSE202,PROF007,2,4.06,4.61,3.44,4.21,4.33,46
CSE202,PROF023,3,3.68,2.76,3.34,3.61,3.33,55
CSE202,PROF024,4,1.68,3.58,5.0,3.06,2.77,79
CSE202,PROF024,5,3.65,3.7,4.2,2.34,3.94,54
CSE202,PROF009,6,4.25,3.76,3.95,4.6,4.47,62
CSE301,PROF010,1,2.39,4.06,3.15,3.36,3.36,39
CSE301,PROF008,2,3.58,4.76,3.54,2.81,3.39,26
CSE301,PROF002,3,3.14,4.08,3.38,2.31,4.98,45
CSE301,PROF019,4,3.62,4.52,3.18,3.83,4.08,55
CSE301,PROF027,5,4.57,4.54,4.19,3.34,3.14,51
CSE301,PROF005,6,3.93,4.51,3.39,4.52,4.83,23
CSE302,PROF012,1,2.42,2.58,2.94,3.4,2.73,20
CSE302,PROF014,2,4.4,3.76,3.25,2.17,2.27,25
CSE302,PROF010,3,3.53,1.7,4.01,3.18,5.0,72
CSE302,PROF022,4,5.0,3.91,3.77,4.75,5.0,60
CSE302,PROF020,5,1.79,1.77,2.5,3.57,3.5,50
CSE302,PROF007,6,4.74,3.03,1.93,4.57,3.22,26
ECE101,PROF001,1,1.68,3.51,3.83,3.2,2.93,33
ECE101,PROF006,2,3.93,3.86,2.88,3.48,4.47,60
ECE101,PROF010,3,3.56,3.54,2.41,3.16,1.56,25
ECE101,PROF016,4,3.91,5.0,2.49,3.3,4.03,74
ECE101,PROF004,5,4.29,3.02,2.63,1.71,3.37,39
ECE101,PROF026,6,5.0,4.17,3.73,4.1,3.84,45
ECE102,PROF016,1,3.11,4.52,3.85,3.78,2.98,51
ECE102,PROF029,2,4.21,3.8,2.63,3.97,2.77,62
ECE102,PROF009,3,3.15,3.27,2.26,4.15,2.31,25
ECE102,PROF021,4,2.41,1.84,3.23,3.28,3.14,54
ECE102,PROF013,5,2.9,2.89,4.0,3.29,3.98,31
ECE102,PROF012,6,2.44,3.4,4.09,3.62,2.82,76
ECE201,PROF013,1,3.94,3.64,3.64,3.47,3.6,43
ECE201,PROF006,2,4.23,3.36,3.14,2.94,2.78,48
ECE201,PROF002,3,2.02,3.22,2.18,3.4,3.02,36
ECE201,PROF015,4,2.27,4.47,4.39,3.05,4.18,49
ECE201,PROF009,5,3.09,3.95,2.66,2.34,3.47,34
ECE201,PROF027,6,3.49,3.38,2.55,3.27,3.81,37
ECE202,PROF019,1,3.37,3.65,2.77,4.34,2.46,23
ECE202,PROF005,2,4.05,4.71,3.95,3.5,3.24,68
ECE202,PROF023,3,4.15,2.28,2.45,3.0,4.31,62
ECE202,PROF004,4,3.59,2.61,2.94,2.79,2.72,25
ECE202,PROF022,5,4.74,2.96,5.0,4.62,4.83,42
ECE202,PROF026,6,3.48,3.83,2.6,3.43,4.24,54
ECE301,PROF014,1,4.36,2.53,2.93,3.2,2.2,68
ECE301,PROF019,2,3.88,2.92,3.15,3.04,2.77,34
ECE301,PROF018,3,3.42,3.35,3.03,2.84,3.68,23
ECE301,PROF027,4,4.92,3.81,4.29,2.48,3.72,44
ECE301,PROF027,5,2.72,2.51,2.9,4.55,4.35,53
ECE301,PROF014,6,3.51,2.19,3.06,3.56,3.46,54
ECE302,PROF022,1,2.48,3.35,3.81,4.39,2.2,75
ECE302,PROF030,2,3.31,3.66,4.02,4.0,3.91,50
ECE302,PROF019,3,2.76,1.98,2.99,4.2,4.52,76
ECE302,PROF008,4,4.27,4.15,3.91,3.26,3.6,50
ECE302,PROF010,5,4.64,2.65,4.49,3.05,4.36,25
ECE302,PROF013,6,2.61,4.3,3.04,2.6,3.91,77
ME101,PROF028,1,4.62,3.23,2.51,3.74,3.74,65
ME101,PROF002,2,3.43,3.85,2.85,4.48,3.17,52
ME101,PROF019,3,3.13,2.21,3.09,3.13,4.17,77
ME101,PROF017,4,3.33,2.11,3.0,3.5,4.18,71
ME101,PROF019,5,4.11,4.11,3.35,3.71,4.4,63
ME101,PROF020,6,2.03,2.92,2.38,3.4,4.08,29
ME102,PROF004,1,2.81,1.47,2.85,4.01,3.71,80
ME102,PROF025,2,4.24,3.77,2.77,4.31,3.23,48
ME102,PROF006,3,5.0,4.61,3.49,3.57,3.98,80
ME102,PROF006,4,3.86,5.0,4.1,3.47,5.0,33
ME102,PROF026,5,3.89,4.56,3.26,4.14,4.1,32
ME102,PROF005,6,2.15,5.0,4.6,3.35,2.78,22
ME201,PROF014,1,3.6,3.49,3.51,3.47,3.73,25
ME201,PROF022,2,5.0,4.51,3.02,5.0,5.0,47
ME201,PROF007,3,5.0,3.09,3.98,2.22,4.33,72
ME201,PROF021,4,2.96,5.0,2.68,2.05,3.02,29
ME201,PROF027,5,2.01,4.29,1.84,3.62,1.93,58
ME201,PROF009,6,3.52,5.0,3.96,3.08,3.75,40
ME202,PROF030,1,3.46,3.92,2.25,3.92,1.28,66
ME202,PROF030,2,2.94,3.15,3.85,3.46,2.32,71
ME202,PROF003,3,2.53,3.58,3.15,2.85,2.93,25
ME202,PROF013,4,4.29,3.42,3.56,5.0,2.59,55
ME202,PROF013,5,2.25,4.46,3.09,3.48,3.11,55
ME202,PROF011,6,2.71,4.29,3.46,3.6,1.78,74
ME301,PROF009,1,2.85,1.6,3.03,4.54,4.19,53
ME301,PROF015,2,3.67,3.93,3.19,4.01,4.46,78
ME301,PROF028,3,2.52,4.15,4.46,3.48,4.37,20
ME301,PROF026,4,5.0,3.86,4.06,3.26,3.99,64
ME301,PROF020,5,3.47,3.36,2.18,3.26,4.27,57
ME301,PROF017,6,3.32,3.83,2.67,3.56,3.18,70
ME302,PROF014,1,2.56,3.68,2.43,2.81,3.47,27
ME302,PROF014,2,3.56,2.47,4.06,3.78,2.76,29
ME302,PROF005,3,2.43,3.65,3.21,3.75,3.37,56
ME302,PROF019,4,1.8,3.19,3.06,3.91,2.85,57
ME302,PROF025,5,5.0,2.47,4.84,3.72,4.58,80
ME302,PROF004,6,3.35,4.3,2.87,2.4,4.42,79
CE101,PROF004,1,3.19,3.56,4.17,2.46,3.76,56
CE101,PROF025,2,3.42,3.89,3.85,2.69,3.27,26
CE101,PROF026,3,4.93,4.66,3.7,4.04,3.61,38
CE101,PROF028,4,4.9,3.75,3.9,4.73,3.19,54
CE101,PROF029,5,4.42,2.05,4.37,2.87,2.98,42
CE101,PROF029,6,1.66,2.91,2.24,2.68,3.06,46
CE102,PROF009,1,4.54,4.04,3.92,2.9,3.07,44
CE102,PROF021,2,4.84,2.91,4.62,3.2,3.4,51
CE102,PROF019,3,4.26,4.52,3.21,3.09,3.36,58
CE102,PROF016,4,4.03,4.58,3.67,4.26,5.0,22
CE102,PROF006,5,4.36,4.41,2.74,1.95,4.37,37
CE102,PROF013,6,3.66,3.42,3.83,3.68,4.63,29
CE201,PROF020,1,3.17,2.6,3.79,2.93,3.52,58
CE201,PROF022,2,3.58,3.54,3.93,3.97,4.34,64
CE201,PROF013,3,3.52,2.36,3.29,4.37,3.49,22
CE201,PROF013,4,3.53,4.62,3.06,2.5,3.6,76
CE201,PROF029,5,2.78,2.5,2.93,3.56,3.16,41
CE201,PROF023,6,3.57,4.87,2.95,3.54,2.91,35
CE202,PROF002,1,2.32,2.63,2.51,3.28,4.87,67
CE202,PROF016,2,3.19,3.53,3.61,4.08,3.98,78
CE202,PROF009,3,4.8,1.93,1.77,3.38,4.65,77
CE202,PROF012,4,1.9,1.0,3.51,3.35,2.28,21
CE202,PROF011,5,2.13,2.24,2.9,2.41,3.31,72
CE202,PROF026,6,1.56,3.26,2.85,3.64,3.42,39
CE301,PROF010,1,3.94,1.92,3.24,3.75,4.79,37
CE301,PROF027,2,3.21,3.95,2.05,1.68,4.27,51
CE301,PROF028,3,3.81,4.85,2.61,4.23,5.0,64
CE301,PROF022,4,4.29,4.28,3.86,2.7,5.0,26
CE301,PROF028,5,3.32,4.31,2.46,2.87,4.96,34
CE301,PROF005,6,3.39,4.93,3.5,2.19,4.38,39
CE302,PROF024,1,2.88,4.01,3.27,2.12,3.48,48
CE302,PROF025,2,5.0,4.39,3.75,4.75,4.06,72
CE302,PROF011,3,3.08,2.14,3.0,3.74,2.24,37
CE302,PROF024,4,4.49,3.38,2.54,4.15,3.12,46
CE302,PROF020,5,3.71,2.97,2.95,3.49,3.33,61
CE302,PROF003,6,1.72,2.52,3.96,3.21,2.9,32
EEE101,PROF015,1,2.76,3.08,2.13,3.76,3.37,33
EEE101,PROF030,2,2.67,3.49,3.63,5.0,2.23,72
EEE101,PROF014,3,4.25,4.2,2.6,3.48,2.95,67
EEE101,PROF016,4,3.91,5.0,4.15,4.17,3.42,68
EEE101,PROF017,5,1.77,2.89,3.82,1.74,2.11,75
EEE101,PROF012,6,3.25,2.46,2.42,2.81,2.06,72
EEE102,PROF002,1,2.21,3.66,1.85,1.72,2.49,52
EEE102,PROF026,2,4.43,3.79,3.37,3.88,2.45,30
EEE102,PROF003,3,3.71,3.72,2.89,4.12,2.41,39
EEE102,PROF023,4,4.22,3.55,2.95,3.31,3.24,52
EEE102,PROF013,5,4.71,2.97,3.02,4.56,3.26,28
EEE102,PROF025,6,4.61,5.0,3.47,4.44,2.97,74
EEE201,PROF017,1,3.56,3.22,3.24,2.44,1.63,76
EEE201,PROF019,2,3.81,1.85,3.05,4.16,3.56,21
EEE201,PROF006,3,5.0,4.98,3.43,4.08,4.02,32
EEE201,PROF029,4,1.9,2.52,2.62,1.54,3.21,73
EEE201,PROF007,5,3.69,2.65,4.11,4.46,4.07,73
EEE201,PROF002,6,2.73,3.57,3.44,3.24,2.33,35
EEE202,PROF002,1,3.21,4.05,2.42,4.67,2.57,49
EEE202,PROF002,2,3.02,2.56,3.07,1.6,2.56,78
EEE202,PROF012,3,2.28,3.36,3.85,3.67,1.25,65
EEE202,PROF007,4,5.0,4.22,3.16,4.01,4.03,37
EEE202,PROF012,5,2.62,3.41,2.57,2.83,2.6,72
EEE202,PROF015,6,2.7,4.06,4.21,4.26,4.5,52
EEE301,PROF013,1,3.99,3.41,4.3,2.65,3.01,60
EEE301,PROF030,2,2.67,4.41,4.1,3.83,4.3,27
EEE301,PROF022,3,3.25,4.34,3.76,4.64,3.87,21
EEE301,PROF008,4,3.4,4.24,4.3,3.17,3.66,43
EEE301,PROF016,5,2.92,1.87,3.82,4.25,3.97,58
EEE301,PROF015,6,2.28,3.66,1.97,4.94,2.98,31
EEE302,PROF028,1,4.81,4.67,2.99,2.9,4.09,50
EEE302,PROF019,2,2.73,3.59,2.92,1.98,1.62,55
EEE302,PROF012,3,3.33,2.8,2.61,3.71,4.09,42
EEE302,PROF006,4,3.84,3.88,4.36,2.97,4.23,73
EEE302,PROF029,5,3.61,3.81,1.52,2.56,2.47,36
EEE302,PROF024,6,3.43,3.84,4.45,2.95,2.95,73
